size,threads,time
512,1,125127.4
512,2,99249.2
512,4,86559.6
512,8,80226.2
512,12,82334
512,16,80562.8
1024,1,519016.4
1024,2,414002.2
1024,4,362289.6
1024,8,349838.6
1024,12,340213.4
1024,16,335258
2048,1,2141459.6
2048,2,1711216.2
2048,4,1503424
2048,8,1395280.4
2048,12,1420765.2
2048,16,1390414
3072,1,4884471
3072,2,3986786.8
3072,4,3492822.2
3072,8,3289634.6
3072,12,3300852.8
3072,16,3246447
5120,1,14103733.6
5120,2,11490693.8
5120,4,10137490.2
5120,8,9468797
5120,12,9577882
5120,16,9413881.4
8192,1,37529491.8
8192,2,30660594.4
8192,4,27252952.4
8192,8,25556761.2
8192,12,25672849.8
8192,16,25235353.6
