"","size","Ts","Tp","speedup"
"1",256,0.01853275,0.04735475,0.391359895258659
"2",512,0.0767986,0.0579162,1.32602967736143
"3",1024,0.3077576,0.0956732,3.21675871612949
"4",2048,1.2544476,0.23103,5.42980392156863
"5",3072,2.8552004,0.454402,6.28342392859186
"6",4096,5.2321652,0.7636638,6.85139874379275
"7",5120,8.3455964,1.1499612,7.25728520231813
"8",7680,18.9813252,2.4972338,7.60094036849894
"9",8192,22.4415092,2.8296474,7.93085004159882
"10",10240,34.1026504,4.3847772,7.77751042858004
"11",12800,53.0385954,6.7961072,7.80426115114841
